Network,Station,Median.Corr..Angle,Mean.Corr..Angle,Stddev.Corr..Angle,N.events
BW,BE1,-1,-2.667,7.734,15
BW,KW1,-0.5,-0.643,7.584,14
BW,MANZ,-10.5,-11.429,5.827,14
BW,RJOB,-16,-15.818,8.222,11
BW,RNON,1,0.25,9.203,4
BW,ROTZ,0.5,1.062,5.344,16
BW,SCE,11.5,12.812,6.72,16
CH,ACB,-8.5,-28.786,47.017,14
CH,AIGLE,17,16.8,11.238,15
CH,BALST,0,-0.077,7.457,13
CH,BERGE,0,-1.824,9.55,17
CH,BERNI,-3,-4.267,9.398,15
CH,BNALP,3,1.714,5.993,14
CH,BOURR,2.5,1.071,6.319,14
CH,BRANT,2.5,3.917,6.946,12
CH,DAGMA,4,3.786,11.014,14
CH,DAVOX,0,0.667,10.384,15
CH,DIX,0,-0.5,9.31,14
CH,EMBD,5,5.692,11.538,13
CH,EMING,8,5,10.243,11
CH,EMMET,-1,-1.467,8.366,15
CH,FIESA,-3,-4.429,8.862,14
CH,FUORN,-2,-2,7.557,9
CH,FUSIO,2,0,7.241,14
CH,GIMEL,-2,-3,8.811,11
CH,GRIMS,1.5,1.143,7.269,14
CH,HASLI,-2,-0.923,6.044,13
CH,LAUCH,2,1.923,11.014,13
CH,LIENZ,-1,-0.636,8.824,11
CH,LKBD2,-1,-1.75,10.018,12
CH,LLS,1,-2.267,6.904,15
CH,METMA,-2,-2.933,9.176,15
CH,MMK,2.5,1.643,9.044,14
CH,MTI02,14.5,13.929,6.497,14
CH,MUGIO,-1,-1.231,4.693,13
CH,MUO,12,10.769,6.863,13
CH,NALPS,1.5,2.7,4.124,10
CH,OTER1,138,138,0,1
CH,PANIX,-1,-3.533,6.438,15
CH,PLONS,0,-2,8.238,15
CH,ROMAN,7,7.8,11.931,10
CH,ROTHE,-5,-4.583,9.596,12
CH,SAIRA,-8,-7.364,6.371,11
CH,SENIN,1,2.154,9.239,13
CH,SIMPL,14.5,13.571,10.055,14
CH,SLE,3,2.5,10.805,16
CH,SULZ,-0.5,-2.786,9.405,14
CH,TORNY,0,-1.273,7.423,11
CH,VANNI,2,-0.077,9.458,13
CH,VDL,-1,-0.615,8.27,13
CH,WALHA,-1,-4.533,12.899,15
CH,WILA,1,-0.933,11.186,15
CH,WIMIS,-1,1.077,9.746,13
CH,WOLEN,12,11.462,8.326,13
CR,ZAG,-3,0,6.719,7
CZ,CHVC,-2,-3.75,9.705,4
CZ,CKRC,3,3.846,9.272,13
CZ,DPC,0,-0.125,7.149,16
CZ,GOPC,143,117.818,93.371,11
CZ,HSKC,1,-0.2,6.096,10
CZ,JAVC,3.5,2.357,11.159,14
CZ,KHC,-2,-0.882,10.426,17
CZ,KRLC,0,-1,5.237,14
CZ,KRUC,1,1.467,7.191,15
CZ,MORC,0,-0.056,6.859,18
CZ,NKC,5,5.571,6.987,14
CZ,OKC,8,9.5,13.255,18
